"transactionid";"customerid";"age";"gender";"Marital Status";"income";"Product Name";"storename";"groupstore";"Type";"latitude";"longitude";"price";"qty";"totalamount";"DATE"
TR11369;328;36;0;Married;10.53;Crackers;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";7500;4;30000;2022-01-01
TR16356;165;44;1;Married;14.58;Yoghurt;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";10000;7;70000;2022-01-01
TR1984;183;27;1;Single;0.18;Choco Bar;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";8800;4;35200;2022-01-01
TR35256;160;48;1;Married;12.57;Choco Bar;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";8800;7;61600;2022-01-01
TR41231;386;33;0;Married;6.95;Yoghurt;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";10000;1;10000;2022-01-01
TR51675;283;19;1;Single;0;Cheese Stick;Bonafid;Gita;General Trade;-7,250445;"112,768845";15000;1;15000;2022-01-01
TR54287;51;36;0;Married;7.95;Oat;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";16000;2;32000;2022-01-01
TR67455;49;44;1;Married;13.48;Thai Tea;Buana;Buana;General Trade;-1,26916;"116,825264";4200;3;12600;2022-01-01
TR73041;222;45;0;Married;15.03;Yoghurt;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";10000;6;60000;2022-01-01
TR7596;270;49;1;Married;8.81;Coffee Candy;Priangan;Priangan;Modern Trade;-5,45;"105,26667";9400;2;18800;2022-01-01
TR76340;287;36;0;Single;3.7;Potato Chip;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";12000;4;48000;2022-01-01
TR97336;233;43;1;Married;5.69;Coffee Candy;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";9400;2;18800;2022-01-01
TR99839;123;34;0;Married;4.36;Ginger Candy ;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";3200;6;19200;2022-01-01
TR14355;203;53;0;Married;17.2;Crackers;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";7500;4;30000;2022-01-02
TR16534;421;35;0;Married;9.01;Crackers;Priangan;Priangan;Modern Trade;-5,45;"105,26667";7500;2;15000;2022-01-02
TR2045;32;34;0;Married;10.96;Coffee Candy;Bonafid;Gita;General Trade;-7,250445;"112,768845";9400;4;37600;2022-01-02
TR20925;159;53;1;Married;13.65;Cheese Stick;Buana;Buana;General Trade;-1,26916;"116,825264";15000;2;30000;2022-01-02
TR26678;321;45;0;Married;8.03;Cashew;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";18000;3;54000;2022-01-02
TR29436;335;29;1;Single;4.74;Cashew;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";18000;3;54000;2022-01-02
TR30993;14;58;1;Married;10.18;Cheese Stick;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";15000;2;30000;2022-01-02
TR33449;18;47;0;Married;13.6;Cashew;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";18000;2;36000;2022-01-02
TR34291;333;47;0;Married;17.99;Coffee Candy;Buana Indah;Buana;General Trade;"3,316694";"114,590111";9400;2;18800;2022-01-02
TR3533;24;37;0;Married;9.53;Cashew;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";18000;3;54000;2022-01-02
TR46701;48;32;0;Married;10.62;Ginger Candy ;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";3200;6;19200;2022-01-02
TR48742;87;44;1;Married;9.57;Thai Tea;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";4200;2;8400;2022-01-02
TR63499;118;20;1;Single;3.28;Choco Bar;Priangan;Priangan;Modern Trade;-5,45;"105,26667";8800;7;61600;2022-01-02
TR66576;250;30;1;Married;3.96;Coffee Candy;Bonafid;Gita;General Trade;-7,250445;"112,768845";9400;5;47000;2022-01-02
TR7826;181;33;1;Married;9.94;Choco Bar;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";8800;10;88000;2022-01-02
TR93759;34;45;0;Married;6.36;Cheese Stick;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";15000;2;30000;2022-01-02
TR10346;322;41;0;Married;20.01;Crackers;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";7500;4;30000;2022-01-03
TR13;285;20;0;Single;0;Oat;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";16000;1;16000;2022-01-03
TR15573;91;59;0;Married;9.85;Ginger Candy ;Buana;Buana;General Trade;-1,26916;"116,825264";3200;6;19200;2022-01-03
TR21783;78;41;1;Married;10.34;Thai Tea;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";4200;5;21000;2022-01-03
TR25759;218;29;0;Married;3.52;Thai Tea;Priangan;Priangan;Modern Trade;-5,45;"105,26667";4200;4;16800;2022-01-03
TR26782;237;35;1;Married;8.14;Cheese Stick;Buana Indah;Buana;General Trade;"3,316694";"114,590111";15000;4;60000;2022-01-03
TR27698;178;43;0;Married;9.58;Cashew;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";18000;3;54000;2022-01-03
TR31585;144;34;0;Married;10.01;Ginger Candy ;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";3200;3;9600;2022-01-03
TR36491;117;45;1;Married;12.55;Crackers;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";7500;4;30000;2022-01-03
TR36846;159;53;1;Married;13.65;Yoghurt;Buana Indah;Buana;General Trade;"3,316694";"114,590111";10000;2;20000;2022-01-03
TR40890;224;29;0;Married;3.31;Cashew;Priangan;Priangan;Modern Trade;-5,45;"105,26667";18000;3;54000;2022-01-03
TR45933;406;38;1;Married;8.64;Potato Chip;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";12000;2;24000;2022-01-03
TR45980;7;31;0;Married;4.57;Crackers;Buana Indah;Buana;General Trade;"3,316694";"114,590111";7500;3;22500;2022-01-03
TR46171;21;52;0;Married;12.72;Cheese Stick;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";15000;3;45000;2022-01-03
TR54686;106;24;0;Single;6.79;Ginger Candy ;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";3200;5;16000;2022-01-03
TR74189;202;28;0;Married;4.53;Coffee Candy;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";9400;3;28200;2022-01-03
TR86483;45;53;0;Married;9.25;Oat;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";16000;3;48000;2022-01-03
TR9341;202;28;0;Married;4.53;Coffee Candy;Priangan;Priangan;Modern Trade;-5,45;"105,26667";9400;5;47000;2022-01-03
TR14593;311;61;1;Married;7.64;Cashew;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";18000;4;72000;2022-01-04
TR14970;136;28;1;Married;2.96;Cheese Stick;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";15000;1;15000;2022-01-04
TR2102;23;57;1;Married;12.56;Thai Tea;Priangan;Priangan;Modern Trade;-5,45;"105,26667";4200;4;16800;2022-01-04
TR22313;194;31;1;Married;4.33;Ginger Candy ;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";3200;4;12800;2022-01-04
