"transactionid";"customerid";"productid";"price";"qty";"totalamount";"storeid";"DATE"
TR11369;328;3;7500;4;30000;12;2022-01-01
TR16356;165;9;10000;7;70000;1;2022-01-01
TR1984;183;1;8800;4;35200;4;2022-01-01
TR35256;160;1;8800;7;61600;4;2022-01-01
TR41231;386;9;10000;1;10000;4;2022-01-01
TR51675;283;10;15000;1;15000;5;2022-01-01
TR54287;51;8;16000;2;32000;2;2022-01-01
TR67455;49;5;4200;3;12600;13;2022-01-01
TR73041;222;9;10000;6;60000;4;2022-01-01
TR7596;270;7;9400;2;18800;14;2022-01-01
TR76340;287;4;12000;4;48000;12;2022-01-01
TR97336;233;7;9400;2;18800;12;2022-01-01
TR99839;123;2;3200;6;19200;1;2022-01-01
TR14355;203;3;7500;4;30000;10;2022-01-02
TR16534;421;3;7500;2;15000;14;2022-01-02
TR2045;32;7;9400;4;37600;5;2022-01-02
TR20925;159;10;15000;2;30000;13;2022-01-02
TR26678;321;6;18000;3;54000;12;2022-01-02
TR29436;335;6;18000;3;54000;3;2022-01-02
TR30993;14;10;15000;2;30000;6;2022-01-02
TR33449;18;6;18000;2;36000;9;2022-01-02
TR34291;333;7;9400;2;18800;7;2022-01-02
TR3533;24;6;18000;3;54000;10;2022-01-02
TR46701;48;2;3200;6;19200;9;2022-01-02
TR48742;87;5;4200;2;8400;3;2022-01-02
TR63499;118;1;8800;7;61600;14;2022-01-02
TR66576;250;7;9400;5;47000;5;2022-01-02
TR7826;181;1;8800;10;88000;12;2022-01-02
TR93759;34;10;15000;2;30000;4;2022-01-02
TR10346;322;3;7500;4;30000;4;2022-01-03
TR13;285;8;16000;1;16000;6;2022-01-03
TR15573;91;2;3200;6;19200;13;2022-01-03
TR21783;78;5;4200;5;21000;10;2022-01-03
TR25759;218;5;4200;4;16800;14;2022-01-03
TR26782;237;10;15000;4;60000;7;2022-01-03
TR27698;178;6;18000;3;54000;8;2022-01-03
TR31585;144;2;3200;3;9600;6;2022-01-03
TR36491;117;3;7500;4;30000;12;2022-01-03
TR36846;159;9;10000;2;20000;7;2022-01-03
TR40890;224;6;18000;3;54000;14;2022-01-03
TR45933;406;4;12000;2;24000;8;2022-01-03
TR45980;7;3;7500;3;22500;7;2022-01-03
TR46171;21;10;15000;3;45000;10;2022-01-03
TR54686;106;2;3200;5;16000;10;2022-01-03
TR74189;202;7;9400;3;28200;10;2022-01-03
TR86483;45;8;16000;3;48000;12;2022-01-03
TR9341;202;7;9400;5;47000;14;2022-01-03
TR14593;311;6;18000;4;72000;9;2022-01-04
TR14970;136;10;15000;1;15000;6;2022-01-04
TR2102;23;5;4200;4;16800;14;2022-01-04
TR22313;194;2;3200;4;12800;2;2022-01-04
TR37381;243;10;15000;2;30000;7;2022-01-04
TR41140;78;9;10000;2;20000;14;2022-01-04
TR45300;351;6;18000;4;72000;11;2022-01-04
TR48461;117;5;4200;2;8400;1;2022-01-04
TR49210;189;4;12000;1;12000;7;2022-01-04
TR50516;304;10;15000;2;30000;1;2022-01-04
TR51256;433;9;10000;1;10000;4;2022-01-04
TR57427;157;5;4200;3;12600;5;2022-01-04
TR64821;117;3;7500;1;7500;2;2022-01-04
TR68280;36;8;16000;1;16000;12;2022-01-04
TR86686;403;5;4200;2;8400;1;2022-01-04
TR88044;62;5;4200;5;21000;1;2022-01-04
TR90452;440;2;3200;5;16000;11;2022-01-04
TR98969;355;8;16000;1;16000;4;2022-01-04
TR10602;22;5;4200;3;12600;11;2022-01-05
TR24114;182;8;16000;1;16000;4;2022-01-05
TR35280;167;9;10000;1;10000;2;2022-01-05
TR36079;297;5;4200;4;16800;11;2022-01-05
TR43714;416;7;9400;2;18800;13;2022-01-05
TR46041;7;9;10000;5;50000;8;2022-01-05
TR60242;304;4;12000;1;12000;13;2022-01-05
TR61100;278;8;16000;2;32000;2;2022-01-05
TR61437;123;1;8800;4;35200;6;2022-01-05
TR84132;22;9;10000;7;70000;14;2022-01-05
TR11638;67;2;3200;5;16000;12;2022-01-06
TR20374;282;2;3200;5;16000;3;2022-01-06
TR23183;84;4;12000;4;48000;9;2022-01-06
TR24126;30;2;3200;3;9600;3;2022-01-06
TR32850;306;2;3200;3;9600;6;2022-01-06
TR40523;176;3;7500;4;30000;2;2022-01-06
TR41572;366;6;18000;3;54000;3;2022-01-06
TR45142;438;10;15000;4;60000;10;2022-01-06
TR73860;71;4;12000;4;48000;1;2022-01-06
TR74469;340;5;4200;4;16800;4;2022-01-06
TR77963;116;3;7500;2;15000;7;2022-01-06
TR81478;20;5;4200;4;16800;8;2022-01-06
TR83042;102;2;3200;6;19200;10;2022-01-06
TR87914;161;5;4200;4;16800;9;2022-01-06
TR92298;266;2;3200;6;19200;2;2022-01-06
TR95272;84;7;9400;3;28200;8;2022-01-06
TR96723;240;5;4200;4;16800;14;2022-01-06
TR97562;264;5;4200;3;12600;14;2022-01-06
TR22660;43;5;4200;3;12600;13;2022-01-07
TR23169;189;1;8800;7;61600;7;2022-01-07
TR28506;230;9;10000;3;30000;12;2022-01-07
TR31932;70;9;10000;4;40000;7;2022-01-07
TR38873;311;2;3200;6;19200;5;2022-01-07
TR43744;233;2;3200;6;19200;8;2022-01-07
TR60853;74;2;3200;3;9600;6;2022-01-07
TR73336;399;8;16000;3;48000;10;2022-01-07
TR74427;43;8;16000;2;32000;3;2022-01-07
TR23772;156;10;15000;1;15000;1;2022-01-08
TR36287;157;7;9400;2;18800;2;2022-01-08
TR40790;134;7;9400;4;37600;8;2022-01-08
TR4331;335;3;7500;3;22500;12;2022-01-08
TR43444;240;4;12000;5;60000;2;2022-01-08
TR55617;9;7;9400;5;47000;9;2022-01-08
TR57273;344;4;12000;1;12000;10;2022-01-08
TR648;164;5;4200;3;12600;5;2022-01-08
TR65337;12;5;4200;3;12600;3;2022-01-08
TR6602;211;8;16000;2;32000;5;2022-01-08
TR67501;85;4;12000;3;36000;13;2022-01-08
TR70157;415;8;16000;2;32000;4;2022-01-08
TR84962;55;3;7500;5;37500;7;2022-01-08
TR89167;69;1;8800;5;44000;10;2022-01-08
TR90471;162;3;7500;3;22500;3;2022-01-08
TR14091;307;1;8800;5;44000;11;2022-01-09
TR28270;140;2;3200;7;22400;3;2022-01-09
TR48974;170;10;15000;1;15000;9;2022-01-09
TR52493;354;8;16000;1;16000;11;2022-01-09
TR52613;135;5;4200;3;12600;9;2022-01-09
TR53447;137;2;3200;4;12800;5;2022-01-09
TR5513;62;4;12000;4;48000;2;2022-01-09
TR76965;241;1;8800;8;70400;3;2022-01-09
TR80326;269;8;16000;1;16000;2;2022-01-09
TR858;340;8;16000;2;32000;14;2022-01-09
TR8878;415;5;4200;3;12600;9;2022-01-09
TR89449;178;5;4200;2;8400;11;2022-01-09
TR91332;385;9;10000;1;10000;10;2022-01-09
TR91669;241;5;4200;5;21000;2;2022-01-09
TR3291;13;4;12000;5;60000;14;2022-01-10
TR45059;17;1;8800;6;52800;9;2022-01-10
TR47932;122;7;9400;3;28200;7;2022-01-10
TR57616;446;1;8800;7;61600;2;2022-01-10
TR59952;321;4;12000;5;60000;14;2022-01-10
TR6445;181;3;7500;4;30000;12;2022-01-10
TR69307;23;8;16000;1;16000;1;2022-01-10
TR69902;108;7;9400;2;18800;9;2022-01-10
TR7250;49;1;8800;7;61600;11;2022-01-10
TR77811;329;10;15000;2;30000;4;2022-01-10
TR80374;223;8;16000;3;48000;10;2022-01-10
TR82224;246;2;3200;3;9600;12;2022-01-10
TR8236;249;2;3200;6;19200;7;2022-01-10
TR8369;64;3;7500;1;7500;4;2022-01-10
TR86436;26;10;15000;1;15000;14;2022-01-10
TR88217;442;9;10000;1;10000;8;2022-01-10
TR95284;229;2;3200;3;9600;2;2022-01-10
TR18566;8;3;7500;3;22500;8;2022-01-11
TR23232;168;2;3200;6;19200;1;2022-01-11
TR36166;256;10;15000;5;75000;12;2022-01-11
TR36685;196;2;3200;6;19200;2;2022-01-11
TR40960;394;6;18000;1;18000;4;2022-01-11
TR47732;329;2;3200;6;19200;4;2022-01-11
TR57918;72;4;12000;5;60000;6;2022-01-11
TR59286;278;7;9400;6;56400;8;2022-01-11
TR63021;393;8;16000;1;16000;12;2022-01-11
TR64748;232;5;4200;4;16800;9;2022-01-11
TR6627;339;9;10000;6;60000;10;2022-01-11
TR71791;295;7;9400;5;47000;3;2022-01-11
TR75052;151;3;7500;1;7500;2;2022-01-11
TR76046;16;8;16000;2;32000;1;2022-01-11
TR84499;312;3;7500;3;22500;2;2022-01-11
TR85582;145;5;4200;4;16800;14;2022-01-11
TR93692;244;5;4200;5;21000;10;2022-01-11
TR94450;213;3;7500;6;45000;4;2022-01-11
TR24515;347;10;15000;2;30000;7;2022-01-12
TR24817;287;3;7500;1;7500;8;2022-01-12
TR25833;135;2;3200;4;12800;5;2022-01-12
TR28633;201;9;10000;6;60000;2;2022-01-12
TR39671;52;10;15000;2;30000;7;2022-01-12
TR4401;342;4;12000;5;60000;3;2022-01-12
TR49649;154;10;15000;1;15000;10;2022-01-12
TR69772;112;8;16000;1;16000;5;2022-01-12
TR76028;301;1;8800;8;70400;4;2022-01-12
TR9420;28;8;16000;3;48000;9;2022-01-12
TR94326;167;9;10000;2;20000;13;2022-01-12
TR17988;112;6;18000;1;18000;2;2022-01-13
TR23621;156;7;9400;2;18800;6;2022-01-13
TR31421;427;6;18000;3;54000;2;2022-01-13
TR33225;286;1;8800;3;26400;4;2022-01-13
TR37826;149;7;9400;6;56400;6;2022-01-13
TR48412;275;4;12000;2;24000;3;2022-01-13
TR61271;442;1;8800;3;26400;12;2022-01-13
TR75546;34;5;4200;4;16800;6;2022-01-13
TR83152;420;10;15000;1;15000;10;2022-01-13
TR97807;324;6;18000;3;54000;12;2022-01-13
TR16701;426;4;12000;1;12000;14;2022-01-14
TR19443;295;9;10000;6;60000;2;2022-01-14
TR22474;231;3;7500;2;15000;8;2022-01-14
TR43117;267;10;15000;4;60000;1;2022-01-14
TR63072;210;7;9400;5;47000;3;2022-01-14
TR68172;131;5;4200;5;21000;14;2022-01-14
TR82815;206;7;9400;3;28200;9;2022-01-14
TR88153;303;5;4200;3;12600;1;2022-01-14
TR94606;329;10;15000;2;30000;13;2022-01-14
TR11326;433;9;10000;2;20000;11;2022-01-15
TR13287;2;5;4200;2;8400;9;2022-01-15
TR14344;300;7;9400;2;18800;4;2022-01-15
TR1445;171;5;4200;3;12600;13;2022-01-15
TR16248;130;2;3200;7;22400;10;2022-01-15
TR21056;62;8;16000;3;48000;5;2022-01-15
TR30914;241;3;7500;5;37500;2;2022-01-15
TR32340;121;5;4200;3;12600;4;2022-01-15
TR33508;234;4;12000;5;60000;8;2022-01-15
TR34660;85;10;15000;5;75000;2;2022-01-15
TR37177;93;5;4200;3;12600;8;2022-01-15
TR37379;48;10;15000;5;75000;2;2022-01-15
TR38169;444;4;12000;1;12000;9;2022-01-15
TR41344;306;8;16000;2;32000;1;2022-01-15
TR44149;197;4;12000;2;24000;8;2022-01-15
